#Table V. Buchdahl FittingCoefficients,QuadraticModel,Visible Spectral Region 
#SCHOTT GLASS CATALOGUE: OUADRATIC MODEL.VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
BAF2     1.570481  -.63487E-01   .67296E-02  .000015   .000038   .400
BAF3     1.583575  -.69033E-01   .97295E-02  .000016   .000040   .400
BAF4     1.606613  -.75917E-01   .13459E-01  .000017   .000042   .400
BAF5     1.608177  -.67889E-01   .72972E-02  .000015   .000040   .400
BAF6     1.589873  -.66600E-01   .74534E-02  .000015   .000038   .400
BAF8     1.624696  -.72969E-01   .99581E-02  .000017   .000044   .400
BAF9     1.644246  -.73857E-01   .94296E-02  .000017   .000044   .400
BAF10    1.671049  -.77878E-01   .10318E-01  .000016   .000041   .455
BAF11    1.667711  -.75868E-01   .86874E-02  .000013   .000035   .400
BAF12    1.640323  -.78127E-01   .12666E-01  .000018   .000046   .400
BAF13    1.669989  -.81559E-01   .13381E-01  .000016   .000041   .400
BAF01    1.683593  -.83733E-01   .14473E-01  .000017   .000042   .470
BAF03    1.686896  -.85442E-01   .15306E-01  .000014   .000036   .455
LF1      1.574057  -.73749E-01   .13517E-01  .000018   .000044   .455
LF2      1.590234  -.78568E-01   .15562E-01  .000014   .000036   .400
LF3      1.583143  -.75800E-01   .13931E-01  .000014   .000036   .455
LF4      1.579448  -.76315E-01   .15078E-01  .000015   .000038   .400
LF5      1.582461  -.78115E-01   .15859E-01  .000017   .000043   .455
LF6      1.568272  -.72608E-01   .12984E-01  .000015   .000039   .400
LF7      1.575999  -.75927E-01   .14328E-01  .000016   .000039   .455
LF8      1.565365  -.70699E-01   .11707E-01  .000015   .000038   .455
F1       1.627133  -.95683E-01   .25658E-01  .000022   .000055   .455
F2       1.621262  -.93378E-01   .24130E-01  .000021   .000053   .455
F3       1.614111  -.90479E-01   .22543E-01  .000021   .000053   .455
F4       1.617790  -.91923E-01   .23560E-01  .000020   .000051   .455
F5       1.604555  -.86780E-01   .20364E-01  .000019   .000048   .455
F6       1.637641  -.98174E-01   .26752E-01  .000020   .000049   .455
F8       1.596595  -.83099E-01   .18045E-01  .000016   .000041   .400
F9       1.621615  -.89021E-01   .20399E-01  .000016   .000039   .455
F1O      1.624858  -.93208E-01   .23783E-01  .000021   .000054   .455
F11      1.622189  -.94417E-01   .28423E-01  .000003   .000007   .480
F16      1.593887  -.90886E-01   .29069E-01  .000006   .000015   .470
BASF1    1.627202  -.87533E-01   .20417E-01  .000018   .000046   .400
BASF2    1.665783  -.10109E+00   .29335E-01  .000025   .000061   .455
BASF3    1.608246  -.82521E-01   .17799E-01  .000018   .000048   .400
BASF4    1.652501  -.93039E-01   .23243E-01  .000016   .000042   .400
BASF5    1.604251  -.78074E-01   .14829E-01  .000019   .000047   .400
